city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Billinghurst,-34.5667,-58.5333,Argentina,AR,Buenos Aires,,19138,19138
Martín Coronado,-34.6000,-58.5500,Argentina,AR,Buenos Aires,,19121,19121
El Bolsón,-41.9667,-71.5333,Argentina,AR,Río Negro,,19009,19009
Villa Nueva,-32.4331,-63.2475,Argentina,AR,Córdoba,,18818,18818
Rufino,-34.2667,-62.7000,Argentina,AR,Santa Fe,,18727,18727
Unquillo,-31.2333,-64.3167,Argentina,AR,Córdoba,,18483,18483
Gálvez,-32.0333,-61.2167,Argentina,AR,Santa Fe,,18374,18374
Saladas,-28.2500,-58.6167,Argentina,AR,Corrientes,minor,18349,18349
Aldo Bonzi,-34.7083,-58.5181,Argentina,AR,Buenos Aires,,18175,18175
Coronda,-31.9667,-60.9167,Argentina,AR,Santa Fe,minor,18115,18115
General Juan Madariaga,-37.0167,-57.1333,Argentina,AR,Buenos Aires,minor,18089,18089
General Deheza,-32.7564,-63.7889,Argentina,AR,Córdoba,,18000,18000
Santa Elena,-30.9500,-59.8000,Argentina,AR,Entre Ríos,,17791,17791
Cerrillos,-24.9000,-65.4833,Argentina,AR,Salta,minor,17634,17634
Puerto Rico,-26.8000,-55.0167,Argentina,AR,Misiones,minor,17491,17491
Villa Sarmiento,-34.6333,-58.5667,Argentina,AR,Buenos Aires,,17481,17481
Morteros,-30.7000,-62.0000,Argentina,AR,Córdoba,,16890,16890
La Quiaca,-22.1042,-65.5972,Argentina,AR,Jujuy,minor,16874,16874
Federación,-30.9833,-57.9167,Argentina,AR,Entre Ríos,minor,16658,16658
Villa San José,-32.2000,-58.2167,Argentina,AR,Entre Ríos,,16336,16336
La Falda,-31.0833,-64.5000,Argentina,AR,Córdoba,,16335,16335
Carcarañá,-32.8500,-61.1500,Argentina,AR,Santa Fe,,16277,16277
La Lucila,-34.4833,-58.4833,Argentina,AR,Buenos Aires,,15844,15844
General Pinedo,-27.3167,-61.2833,Argentina,AR,Chaco,minor,15741,15741
Coquimbito,-32.9667,-68.7500,Argentina,AR,Mendoza,,15678,15678
Wanda,-25.9667,-54.5833,Argentina,AR,Misiones,,15529,15529
Villa del Rosario,-31.5833,-63.5333,Argentina,AR,Córdoba,minor,15394,15394
San Luis del Palmar,-27.5167,-58.5667,Argentina,AR,Corrientes,minor,15347,15347
Fray Luis A. Beltrán,-32.7833,-60.7333,Argentina,AR,Santa Fe,,15176,15176
Bella Vista,-27.0333,-65.3000,Argentina,AR,Tucumán,minor,15126,15126
Pilar,-31.6833,-63.9000,Argentina,AR,Córdoba,,14735,14735
Carmen de Areco,-34.3858,-59.8294,Argentina,AR,Buenos Aires,minor,14692,14692
Las Rosas,-32.4833,-61.5833,Argentina,AR,Santa Fe,minor,13689,13689
General Belgrano,-35.7667,-58.5000,Argentina,AR,Buenos Aires,minor,13516,13516
General Viamonte,-35.0000,-61.0333,Argentina,AR,Buenos Aires,minor,13462,13462
Empedrado,-27.9333,-58.7833,Argentina,AR,Corrientes,minor,13245,13245
Puerto San Martín,-32.7167,-60.7333,Argentina,AR,Santa Fe,,13243,13243
Oncativo,-31.9167,-63.6667,Argentina,AR,Córdoba,,13180,13180
Plaza Huincul,-38.9338,-69.1987,Argentina,AR,Neuquén,,13172,13172
General Enrique Mosconi,-22.6000,-63.8167,Argentina,AR,Salta,,13118,13118
Acasusso,-34.4667,-58.5167,Argentina,AR,Buenos Aires,,12842,12842
Santa Rosa de Calamuchita,-32.0667,-64.5333,Argentina,AR,Córdoba,,12830,12830
Rosario del Tala,-32.3000,-59.1333,Argentina,AR,Entre Ríos,minor,12801,12801
General Las Heras,-34.9333,-58.9500,Argentina,AR,Buenos Aires,minor,12799,12799
San Salvador,-31.6167,-58.5000,Argentina,AR,Entre Ríos,minor,12733,12733
Junín de los Andes,-39.9167,-71.0667,Argentina,AR,Neuquén,minor,12621,12621
La Carlota,-33.4333,-63.3000,Argentina,AR,Córdoba,minor,12537,12537
Ingeniero Maschwitz,-34.3667,-58.7500,Argentina,AR,Buenos Aires,,12482,12482
Las Parejas,-32.6833,-61.5333,Argentina,AR,Santa Fe,,12375,12375
Laguna Paiva,-31.3039,-60.6589,Argentina,AR,Santa Fe,,12334,12334
Malvinas Argentinas,-31.3697,-64.0531,Argentina,AR,Córdoba,,12187,12187
Justo Daract,-33.8667,-65.1667,Argentina,AR,San Luis,,12135,12135
Villa Berthet,-27.2667,-60.4167,Argentina,AR,Chaco,minor,12029,12029
Cafayate,-26.0833,-65.9667,Argentina,AR,Salta,minor,11785,11785
Oliva,-32.0333,-63.5667,Argentina,AR,Córdoba,minor,11672,11672
Santa Lucía,-28.9833,-59.1000,Argentina,AR,Corrientes,minor,11589,11589
Navarro,-35.0167,-59.2667,Argentina,AR,Buenos Aires,minor,11562,11562
Capitán Sarmiento,-34.1667,-59.7833,Argentina,AR,Buenos Aires,minor,11316,11316
Hernando,-32.4167,-63.7333,Argentina,AR,Córdoba,,11182,11182
Capilla del Monte,-30.8500,-64.5167,Argentina,AR,Córdoba,,11181,11181
Armstrong,-32.7833,-61.6000,Argentina,AR,Santa Fe,,11181,11181
Villa Nueva,-32.9000,-68.7667,Argentina,AR,Mendoza,minor,11104,11104
San Bernardo,-27.2667,-60.7000,Argentina,AR,Chaco,minor,11101,11101
