Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud,posee_conectividad
BUENOS AIRES,General La Madrid,Las Martinetas,215,NO,NO,NO,NO,NO,NO,SI,NO,NO,6322030,-37.1980813542863,-61.1220424031557,SI
BUENOS AIRES,General La Madrid,Líbano,292,NO,NO,NO,NO,NO,NO,SI,NO,NO,6322040,-37.53362138441,-61.2865750087495,SI
BUENOS AIRES,General La Madrid,Pontaut,68,NO,NO,NO,NO,NO,NO,NO,SI,NO,6322050,-37.731769903374,-61.3230957170244,SI
BUENOS AIRES,General Las Heras,General Hornos,194,NO,NO,NO,NO,NO,NO,NO,NO,SI,6329010,-34.8937763345299,-58.9172215319327,SI
BUENOS AIRES,General Las Heras,General Las Heras (Est. Las Heras),11331,SI,SI,SI,NO,NO,SI,SI,SI,SI,6329020,-34.9267739074255,-58.9453407851291,SI
BUENOS AIRES,General Las Heras,La Choza,41,NO,NO,NO,NO,NO,NO,NO,NO,NO,6329030,-34.7829908276155,-59.1095647693247,NO
BUENOS AIRES,General Las Heras,Lozano,0,NO,NO,NO,NO,SI,NO,NO,NO,NO,6329020,-34.8542796259808,-59.0533451317779,SI
BUENOS AIRES,General Las Heras,Plomer,198,NO,NO,NO,NO,NO,NO,SI,NO,NO,6329050,-34.7941193667757,-59.0279756935744,SI
BUENOS AIRES,General Las Heras,Villars,1147,NO,SI,SI,SI,NO,NO,SI,NO,NO,6329060,-34.8300241949658,-58.9422589402025,SI
BUENOS AIRES,General Lavalle,Chacras de San Clemente,0,NO,NO,NO,NO,NO,SI,NO,NO,NO,6336020,-36.4080851872455,-56.9433553335054,SI
BUENOS AIRES,General Lavalle,General Lavalle,1827,NO,SI,NO,NO,SI,SI,SI,SI,SI,6336020,-36.4080851872455,-56.9433553335054,SI
BUENOS AIRES,General Lavalle,Pavón,942,NO,NO,NO,SI,NO,SI,NO,SI,SI,6336030,-36.7089537726649,-56.7598433617574,SI
BUENOS AIRES,La Plata,La Plata,207620,SI,SI,SI,SI,SI,SI,SI,SI,SI,6441030,-34.920863104693,-57.9540560062469,SI
BUENOS AIRES,La Plata,La Providencia,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,6441030,-35.0232476,-58.2307028,NO
BUENOS AIRES,La Plata,Lisandro Olmos,0,NO,SI,NO,NO,NO,NO,NO,SI,SI,6441030,-34.9976086009747,-58.043377425691,SI
BUENOS AIRES,La Plata,Lomas de Copello,420,NO,NO,NO,NO,NO,NO,NO,NO,NO,6441040,-34.9520385659845,-57.8409385980167,NO
BUENOS AIRES,La Plata,Los Hornos,0,NO,SI,NO,SI,NO,SI,NO,SI,SI,6441030,-34.973715513981,-57.9850539062724,SI
BUENOS AIRES,La Plata,Manuel B Gonnet,0,NO,SI,NO,SI,NO,NO,NO,SI,SI,6441030,-34.8819511933447,-58.0189915342036,SI
BUENOS AIRES,La Plata,Poblet,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,6441030,-35.0604581,-57.9547426,NO
BUENOS AIRES,La Plata,Ringuelet,0,NO,SI,NO,SI,NO,NO,NO,SI,SI,6441030,-34.8910544941568,-57.9913781921596,SI
BUENOS AIRES,La Plata,Rufino De Elizalde,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,6441030,-34.9710900774179,-57.9524351288235,SI
BUENOS AIRES,La Plata,ruta del sol,0,SI,NO,NO,NO,NO,NO,NO,SI,SI,,-34.9437333541431,-58.1732652389706,SI
BUENOS AIRES,La Plata,ruta del sol,2312,SI,NO,NO,NO,NO,NO,NO,SI,SI,,-34.9437333541431,-58.1732652389706,SI
BUENOS AIRES,La Plata,Tolosa,0,NO,SI,NO,SI,NO,NO,NO,SI,SI,6441030,-34.9007699307169,-57.9821293495972,SI
BUENOS AIRES,La Plata,Transradio,0,NO,NO,NO,NO,SI,NO,NO,SI,SI,6441030,-34.8790055541958,-58.081733864461,SI
BUENOS AIRES,Necochea,Juan N. Fernández,2721,SI,NO,NO,NO,SI,SI,SI,SI,SI,6581030,-38.0091787783017,-59.2634988347821,SI
BUENOS AIRES,Necochea,Necochea - Quequén,84784,SI,SI,SI,SI,SI,SI,SI,SI,SI,6581040,-38.5711702285697,-58.7702419838751,SI
BUENOS AIRES,Necochea,Nicanor Olivera (Est. La Dulce),2131,SI,NO,SI,NO,NO,SI,SI,SI,NO,6581050,-38.2846361959919,-59.202754253612,SI
BUENOS AIRES,Necochea,Ramón Santamarina,430,NO,NO,NO,NO,NO,NO,SI,SI,SI,6581060,-38.4503897333336,-59.3311154416146,SI
BUENOS AIRES,Olavarría,Blancagrande,65,NO,NO,NO,NO,NO,NO,NO,NO,NO,6595010,-36.5328887082639,-60.8824549132602,NO
BUENOS AIRES,Olavarría,Colonia Hinojo,3841,NO,NO,NO,NO,NO,NO,NO,NO,SI,6595070,-36.8800694499223,-60.1780552970612,SI
BUENOS AIRES,Olavarría,Colonia Nievas,10,NO,NO,NO,NO,NO,NO,NO,NO,NO,6595030,-36.8641370257955,-60.0816424704,NO
BUENOS AIRES,Olavarría,Colonia San Miguel,902,NO,NO,NO,NO,NO,NO,NO,NO,NO,6595040,-36.9495659791886,-60.1108954083182,NO
BUENOS AIRES,Olavarría,Espigas,492,NO,NO,NO,NO,NO,NO,SI,NO,NO,6595050,-36.4122732396335,-60.6730694647,SI
BUENOS AIRES,Olavarría,Hinojo,3841,SI,NO,NO,NO,SI,SI,SI,SI,SI,6595060,-36.8805120719062,-60.1771940245473,SI
BUENOS AIRES,Olavarría,Olavarría,89721,SI,SI,SI,SI,SI,NO,SI,SI,SI,6595070,-36.8920935788859,-60.3180046559577,SI
BUENOS AIRES,Olavarría,Recalde,385,NO,NO,NO,NO,NO,NO,SI,NO,NO,6595080,-36.6515016172821,-61.0845040269815,SI
BUENOS AIRES,Olavarría,Santa Luisa,40,NO,NO,NO,NO,NO,NO,NO,SI,NO,6595090,-37.1256790161133,-60.4158706665039,SI
BUENOS AIRES,Olavarría,Sierra Chica,4812,NO,SI,NO,NO,NO,SI,NO,SI,SI,6595100,-36.843238222524,-60.2234271381196,SI
BUENOS AIRES,Olavarría,Sierras Bayas,3849,SI,NO,SI,NO,NO,SI,SI,NO,NO,6595110,-36.9225238148372,-60.2157925414657,SI
BUENOS AIRES,Vicente López,Villa Martelli,25616,SI,SI,NO,SI,NO,SI,SI,SI,SI,6861010,-34.5525979527695,-58.5091432644227,SI
BUENOS AIRES,Villa Gesell,Mar Azul,1797,NO,NO,NO,NO,NO,NO,SI,SI,SI,6868010,-37.3366731576801,-57.032501468863,SI
BUENOS AIRES,Villa Gesell,Mar De Las Pampas,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,,-37.3281312355181,-57.0399070097774,SI
BUENOS AIRES,Villa Gesell,Villa Gesell,29593,SI,NO,NO,SI,NO,NO,SI,SI,SI,6868020,-37.2464704698501,-56.9707267624406,SI
BUENOS AIRES,Villarino,Argerich,80,NO,NO,NO,NO,NO,SI,SI,NO,NO,6875010,-38.7686560837266,-62.6025276771033,SI
BUENOS AIRES,Villarino,Colonia San Adolfo,109,NO,NO,NO,NO,NO,NO,NO,NO,NO,6875020,-39.3983952518232,-62.5711721088672,NO
BUENOS AIRES,Villarino,Country Los Medanos,61,NO,NO,NO,NO,NO,SI,NO,NO,NO,6875025,-38.8468445915571,-62.738741885831,SI
BUENOS AIRES,Villarino,Hilario Ascasubi,3427,NO,NO,NO,NO,NO,NO,SI,SI,SI,6875030,-39.3758602632663,-62.6477900877351,SI
BUENOS AIRES,Villarino,Juan Cousté (Est. Algarrobo),1993,NO,NO,SI,NO,NO,SI,SI,SI,SI,6875040,-38.8942604188728,-63.1361581918897,SI
BUENOS AIRES,Villarino,Mayor Buratovich,5372,SI,NO,NO,SI,NO,NO,SI,SI,SI,6875050,-39.2590946793617,-62.6157889589915,SI
BUENOS AIRES,Villarino,Médanos,5245,SI,SI,SI,SI,NO,SI,SI,SI,SI,6875060,-38.8293145512181,-62.6943321574343,SI
CABA,COMUNA 01,CONSTITUCION,44107,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010,-34.6250478642294,-58.384387226424,SI
CORDOBA,San Justo,Freyre,6620,SI,SI,NO,NO,NO,SI,SI,SI,SI,14140220,-31.1647319320813,-62.0976333908888,SI
CORDOBA,San Justo,La Francia,3720,SI,NO,NO,SI,NO,SI,SI,SI,SI,14140230,-31.406437919327,-62.6343581010891,SI
CORDOBA,San Justo,La Paquita,947,NO,NO,NO,NO,NO,NO,NO,NO,SI,14140240,-30.9070545771133,-62.2154361817056,SI
CORDOBA,San Justo,La Tordilla,1257,SI,NO,NO,NO,NO,SI,SI,SI,SI,14140250,-31.2352452196552,-63.0599042713799,SI
CORDOBA,San Justo,Las Varas,1320,NO,NO,NO,SI,NO,NO,SI,SI,SI,14140260,-31.801292158779,-62.6171047243489,SI
JUJUY,Susques,Jama,67,NO,NO,NO,SI,NO,NO,NO,NO,NO,38084045,-23.2599291955531,-67.0236887810529,SI
CABA,COMUNA 09,PARQUE AVELLANEDA,53229,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010,-34.64864128675,-58.47645640345,SI
CORDOBA,San Justo,Las Varillas,16238,SI,SI,NO,SI,SI,NO,SI,SI,SI,14140270,-31.8731135581313,-62.7187948274612,SI
CORDOBA,San Justo,Marull,1791,NO,NO,NO,SI,SI,SI,SI,SI,SI,14140280,-30.9945226321227,-62.8258401081139,SI
CORDOBA,San Justo,Miramar,2023,NO,SI,NO,NO,NO,SI,SI,SI,SI,14140290,-30.9145163516027,-62.6749183796469,SI
CORDOBA,San Justo,Morteros,16890,SI,NO,NO,SI,NO,NO,SI,SI,SI,14140300,-30.7107058083835,-62.0044437379159,SI
BUENOS AIRES,9 de Julio,Carlos María Naón,497,NO,NO,SI,NO,NO,NO,SI,SI,SI,6588020,-35.239499381663,-60.8251358750153,SI
BUENOS AIRES,9 de Julio,Dudignac,2670,NO,NO,SI,NO,NO,SI,SI,SI,SI,6588040,-35.6511928511123,-60.7098962799094,SI
BUENOS AIRES,9 de Julio,La Aurora (Est. La Niña),531,NO,NO,NO,NO,NO,NO,NO,NO,SI,6588050,-35.4079467934432,-61.2105668204871,SI
BUENOS AIRES,9 de Julio,Manuel B. Gonnet (Est. French),748,SI,NO,NO,SI,NO,NO,SI,SI,SI,6588060,-35.5201414507378,-60.9989487976537,SI
BUENOS AIRES,9 de Julio,Marcelino Ugarte (Est. Dennehy),76,NO,NO,NO,NO,NO,NO,NO,NO,SI,6588070,-35.3462662593318,-60.7453446826815,SI
BUENOS AIRES,9 de Julio,Morea,347,NO,NO,NO,NO,NO,NO,NO,NO,NO,6588080,-35.5563880098445,-60.5605940553161,NO
BUENOS AIRES,9 de Julio,Norumbega,57,NO,NO,NO,NO,NO,NO,NO,NO,NO,6588090,-35.5357392707567,-60.7928143632315,NO
BUENOS AIRES,9 de Julio,Patricios,745,SI,NO,NO,NO,NO,NO,SI,SI,NO,6588110,-35.4395526972374,-60.7174384712323,SI
BUENOS AIRES,9 de Julio,Villa General Fournier (Est. 9 de Julio Sud),566,NO,NO,NO,SI,NO,SI,SI,SI,SI,6588120,-35.4989239490928,-60.8647207106461,SI
BUENOS AIRES,Adolfo Alsina,Carhué,9660,SI,NO,NO,SI,NO,SI,SI,SI,SI,6007010,-37.1774801030509,-62.7578962604015,SI
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,563,SI,NO,NO,NO,NO,NO,SI,NO,SI,6007020,-37.4486186469627,-63.117609405389,SI
BUENOS AIRES,Adolfo Alsina,Delfín Huergo,14,NO,NO,NO,NO,NO,NO,NO,NO,NO,6007030,-37.3173292631958,-63.2331690622102,NO
BUENOS AIRES,Adolfo Alsina,Espartillar,21,NO,NO,NO,NO,NO,NO,NO,NO,SI,6007040,-37.3563345638716,-62.4387637810214,SI
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,104,NO,NO,NO,NO,NO,NO,SI,NO,NO,6007050,-37.4544378016288,-63.2565950033782,SI
BUENOS AIRES,Adolfo Alsina,La Pala,27,NO,NO,NO,NO,NO,NO,NO,NO,NO,6007060,-36.6613400852941,-63.3661281675236,NO
BUENOS AIRES,Adolfo Alsina,Maza,1748,NO,NO,NO,SI,SI,SI,SI,SI,SI,6007070,-36.7999468137731,-63.3385151506224,SI
BUENOS AIRES,Florencio Varela,El Tropezon,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,,-34.9564048574127,-58.2787454299742,SI
BUENOS AIRES,Florencio Varela,Estanislao Severo Zeballos,26005,SI,SI,SI,SI,NO,NO,SI,SI,SI,6274010,-34.812285887223,-58.2426532633495,SI
BUENOS AIRES,Florencio Varela,Florencio Varela,149676,SI,SI,SI,SI,SI,SI,SI,SI,SI,6274010,-34.7960544308506,-58.2748588953342,SI
BUENOS AIRES,Florencio Varela,Gobernador Julio A. Costa,61135,SI,SI,SI,SI,NO,NO,SI,SI,SI,6274010,-34.8152397261388,-58.3082334245906,SI
BUENOS AIRES,Florencio Varela,Ingeniero Juan Allan,32994,SI,SI,NO,NO,NO,NO,SI,SI,SI,6274010,-34.8648075260046,-58.2110437322304,SI
BUENOS AIRES,Florencio Varela,La Capilla,0,SI,NO,NO,SI,NO,NO,SI,SI,SI,6274010,-34.9437330109546,-58.2632550914349,SI
BUENOS AIRES,Florencio Varela,Villa Brown,7484,NO,SI,NO,SI,NO,NO,NO,SI,SI,6274010,-34.8790424725562,-58.2898092496787,SI
BUENOS AIRES,Florencio Varela,Villa San Luis,12693,NO,SI,NO,NO,NO,NO,NO,SI,SI,6274010,-34.8627929258513,-58.2553232274346,SI
BUENOS AIRES,Florencio Varela,Villa Santa Rosa,27308,SI,SI,SI,NO,NO,NO,SI,SI,SI,6274010,-34.8380276482598,-58.2888899071764,SI
JUJUY,Susques,Mina Providencia,30,NO,NO,NO,SI,NO,NO,NO,NO,NO,38084050,-23.2748878331652,-66.8343534268599,SI
JUJUY,Susques,Olacapato,45,NO,NO,NO,SI,NO,SI,NO,NO,NO,38084055,-24.1152805507803,-66.7186508694002,SI
BUENOS AIRES,General Pueyrredón,Batán,10152,SI,NO,NO,SI,SI,SI,SI,SI,SI,6357070,-38.0086211557001,-57.7085500402678,SI
BUENOS AIRES,General Pueyrredón,Camet,0,SI,NO,NO,SI,NO,SI,SI,SI,SI,,-37.9130763908367,-57.552463851894,SI
BUENOS AIRES,General Pueyrredón,Chapadmalal,4112,SI,NO,SI,NO,SI,SI,SI,SI,SI,6357080,-38.1757779275595,-57.6513390003209,SI
BUENOS AIRES,General Pueyrredón,El Marquesado,196,NO,NO,NO,NO,NO,SI,SI,NO,NO,6357090,-38.2369312519788,-57.763418077922,SI
BUENOS AIRES,General Pueyrredón,Estacion Camet,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,,-37.888665236683,-57.6000121501773,SI
BUENOS AIRES,General Pueyrredón,Estación Chapadmalal,1633,SI,NO,NO,SI,NO,SI,NO,SI,SI,6357100,-38.036727731373,-57.7129897398616,SI
BUENOS AIRES,General Pueyrredón,Mar del Plata,560913,SI,SI,SI,SI,SI,SI,SI,SI,SI,6357110,-38.0120914785136,-57.6064947153173,SI
BUENOS AIRES,General Pueyrredón,Punta Mogotes,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,,-38.0833774287933,-57.5859350936487,SI
SAN LUIS,Libertador Grl. San Martín,Planta De Sandia,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-32.76799349,-65.54885162,NO
BUENOS AIRES,Olavarría,Villa Alfredo Fortabat,3451,SI,NO,NO,NO,NO,SI,SI,SI,SI,6595120,-36.9802714637124,-60.2790828437139,SI
BUENOS AIRES,Olavarría,Villa Arrieta,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,,-36.9436605372421,-60.1578271825148,SI
BUENOS AIRES,Olavarría,Villa La Serranía,167,NO,NO,NO,NO,NO,NO,NO,NO,SI,6595130,-36.9903632120511,-60.3108081181748,SI
BUENOS AIRES,Patagones,Bahía San Blas,611,NO,NO,SI,NO,NO,SI,SI,SI,SI,6602010,-40.5602246137406,-62.2380643077459,SI
BUENOS AIRES,Patagones,Cardenal Cagliero,89,NO,NO,NO,NO,NO,NO,NO,NO,SI,6602020,-40.6522000086693,-62.7575972084464,SI
BUENOS AIRES,Patagones,Carmen de Patagones,20533,SI,NO,SI,SI,SI,SI,SI,SI,SI,6602030,-40.797298324401,-62.984754269904,SI
BUENOS AIRES,Patagones,José B. Casas,40,NO,NO,NO,NO,NO,SI,NO,NO,NO,6602040,-40.4363643935514,-62.5449343513868,SI
BUENOS AIRES,Patagones,Juan A. Pradere,521,NO,SI,NO,NO,NO,SI,NO,NO,SI,6602050,-39.5993801239416,-62.6510470779021,SI
BUENOS AIRES,Patagones,Stroeder,1998,NO,NO,NO,SI,NO,SI,SI,SI,SI,6602060,-40.1854869993736,-62.6205163469862,SI
BUENOS AIRES,Patagones,Villalonga,4517,SI,NO,SI,SI,NO,SI,SI,SI,SI,6602070,-39.9151387867695,-62.6188702678852,SI
BUENOS AIRES,Pehuajó,Capitán Castro,49,NO,NO,NO,NO,NO,SI,NO,NO,NO,6609010,-35.913692884071,-62.2240579143551,SI
BUENOS AIRES,Pehuajó,Chiclana,0,NO,NO,NO,NO,NO,SI,NO,SI,SI,6609080,-35.7327373193414,-61.7439272931387,SI
BUENOS AIRES,Pehuajó,Francisco Madero,1389,NO,NO,SI,NO,NO,SI,SI,SI,SI,6609030,-35.8483065194137,-62.0693918423117,SI
BUENOS AIRES,Pehuajó,Inocencio Sosa,31,NO,NO,NO,NO,NO,SI,NO,NO,NO,6609035,-35.7184196474894,-62.1142777365421,SI
BUENOS AIRES,Villarino,Pedro Luro,9494,SI,SI,NO,SI,NO,SI,SI,SI,SI,6875070,-39.5007767274615,-62.6874317159849,SI
BUENOS AIRES,Villarino,Teniente Origone,145,NO,NO,NO,NO,NO,SI,SI,NO,SI,6875080,-39.0580586668564,-62.5697137402023,SI
BUENOS AIRES,Zárate,Barrio Saavedra,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,6882050,-34.1263843372848,-59.020156759664,SI
BUENOS AIRES,Zárate,Country Club El Casco,452,NO,NO,NO,NO,NO,NO,NO,SI,SI,6882020,-34.1275885141615,-59.0834596008166,SI
BUENOS AIRES,Zárate,Escalada,213,NO,NO,NO,NO,NO,NO,NO,NO,NO,6882030,-34.160933188334,-59.1125399836881,NO
BUENOS AIRES,Zárate,Lima,10219,SI,SI,NO,SI,NO,NO,SI,SI,SI,6882040,-34.0436335939636,-59.1973339595539,SI
BUENOS AIRES,Zárate,Zárate,98522,SI,SI,NO,SI,SI,NO,SI,SI,SI,6882050,-34.0998630672257,-59.024557255152,SI
CORDOBA,Santa María,Alta Gracia,48140,SI,SI,NO,SI,NO,SI,SI,SI,SI,14147010,-31.6576798267691,-64.4288214061936,SI
CORDOBA,Santa María,Anisacate,2991,SI,NO,NO,SI,NO,SI,SI,NO,NO,14147020,-31.7231378713901,-64.4144863418681,SI
CORDOBA,Santa María,Barrio Gilbert,1277,NO,NO,NO,NO,NO,NO,NO,NO,NO,14147030,-31.4426508165936,-64.3178623084579,NO
CORDOBA,Santa María,Barrio Las Quintas,0,NO,NO,NO,NO,NO,NO,NO,SI,NO,,-31.5502925188794,-64.4334256167366,SI
CORDOBA,Santa María,Barrio Villa del Parque,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-31.7772193262534,-64.532077974826,NO
CORDOBA,Santa María,Bouwer,841,NO,NO,NO,NO,NO,NO,SI,SI,SI,14147050,-31.557666956067,-64.194465844878,SI
CORDOBA,Santa María,Campos del Virrey,188,NO,NO,NO,NO,NO,NO,NO,NO,NO,14147055,-31.5854354142154,-64.3439770074277,NO
CORDOBA,Santa María,Caseros Centro,243,NO,NO,NO,NO,NO,NO,NO,NO,SI,14147060,-31.5292561486201,-64.1688666057858,SI
CABA,COMUNA 01,MONSERRAT,39914,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010,-34.6126880821742,-58.379652044818,SI
FORMOSA,Patiño,Las Lomitas,12399,SI,NO,NO,SI,SI,SI,SI,SI,SI,34035100,-24.7105776136691,-60.5937892586839,SI
FORMOSA,Patiño,Posta Cambio Zalazar,603,NO,NO,NO,NO,NO,SI,NO,NO,SI,34035110,-24.2115848629554,-60.198666969414,SI
FORMOSA,Patiño,Pozo del Tigre,4517,SI,NO,NO,NO,NO,SI,SI,SI,SI,34035120,-24.8975997693171,-60.3187890218463,SI
FORMOSA,Patiño,San Martín I,66,NO,NO,NO,NO,NO,NO,NO,NO,NO,34035130,-24.5319053014019,-59.902051229705,NO
FORMOSA,Patiño,San Martín II,3119,NO,NO,NO,SI,NO,SI,SI,NO,SI,34035140,-24.4331529800639,-59.656351890373,SI
FORMOSA,Patiño,Subteniente Perín,1163,NO,NO,NO,NO,SI,SI,NO,NO,SI,34035150,-25.5350397293764,-60.0190827630116,SI
FORMOSA,Patiño,Villa General Güemes,3907,NO,NO,NO,SI,NO,SI,SI,NO,SI,34035160,-24.7529456908497,-59.4916405606824,SI
CABA,COMUNA 10,FLORESTA,37575,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010,-34.6276862905939,-58.4835872783595,SI
CORDOBA,Santa María,Causana,55,NO,NO,NO,NO,NO,NO,NO,NO,NO,14147065,-31.4637911559576,-64.4124514041777,NO
CORDOBA,Santa María,Costa Azul,201,NO,NO,NO,NO,NO,NO,NO,SI,SI,14147070,-31.7247289371172,-64.3939272186065,SI
CORDOBA,Santa María,Despeñaderos,5758,SI,NO,NO,SI,NO,SI,SI,SI,SI,14147080,-31.8170515932731,-64.2889894059973,SI
CORDOBA,Santa María,Dique Chico,167,NO,NO,NO,NO,NO,NO,NO,NO,NO,14147090,-31.751852051978,-64.3627643049016,NO
CORDOBA,Santa María,El Potrerillo,85,NO,NO,NO,NO,NO,NO,NO,SI,SI,14147095,-31.6456181955204,-64.481617153406,SI
CORDOBA,Santa María,Falda del Cañete,29,NO,NO,NO,NO,NO,NO,NO,SI,SI,14147100,-31.5345237877237,-64.4559553621678,SI
CORDOBA,Santa María,Falda del Carmen,170,NO,NO,NO,NO,NO,NO,SI,NO,SI,14147110,-31.5854632680747,-64.4548814536225,SI
CORDOBA,Santa María,José de la Quintana,419,NO,NO,NO,NO,NO,NO,NO,NO,SI,14147115,-31.8034930461757,-64.418856525597,SI
CORDOBA,Santa María,La Boca del Río,80,NO,NO,NO,NO,NO,NO,SI,NO,NO,14147120,-31.8374172963205,-64.4336411746815,SI
CORDOBA,Santa María,La Carbonada,207,NO,NO,NO,NO,NO,NO,NO,NO,SI,14147130,-31.5285694623422,-64.0712556356294,SI
CABA,COMUNA 15,PATERNAL,19717,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010,-34.5974220425569,-58.4686652940674,SI
